Author,Date,Rating,Title,Review
JINNIE,01/21/2021,5,This is my fourth purchase,"This is my fourth purchase and I need them all the time all around for better sleep. So puffy and comfy :) however, it seems like deflating faster before."
Robbie,01/14/2021,5,Shark is number one,Everyone loves the shark. I hope you carry it forever. Just in case you don’t we bought 2 and already have one at home
MARGORY,01/13/2021,5,My daughter loves,My daughter loves
DENISE,01/11/2021,5,Grandson loves it!,Grandson loves it!
Angelica,01/11/2021,5,My nephew loved it!,My nephew loved it!
Blazena,10/19/2020,5,Shark toy - pillow,It could play a couple of famous songs about sharks ???
Bonnie,10/18/2020,4,For the love of sharks...,"Our grandson loves sharks and loved this very cuddly version! Because he plays with it many times each day, his beloved shark is beginning to flatten and lose it's full shape...maybe could use a bit more ""stuffing"" as more are born in the factory!"
rachel4two,07/18/2020,4,We love this shark!!,bought by my 13 and 16 year old kids... Its a huggable pillow too. Its sparsely stuffed so not sure it will last for years but love the design and size.
J Mom,07/18/2020,5,Very huggable!,My son absolutely loves this shark. Sleeps with it every night. It looks great in his room.
Sharkbaby21,03/17/2020,5,So Soft!,Im obseed with Sharks and this made my heart melt. Its soft and fluffy!
Elephant lover,03/17/2020,5,Great shark,I bought this for my grandson who loves sharks and can tell you things about almost everyone of them. I hope to give it to him this weekend. I'm sure he'll like it.
Hsinyun,02/07/2020,4,Very Comfortable!!!!!!!!!,n/a
SuzInPhilly,01/21/2020,5,We Named Our Shark Bruce,"Bruce, our IKEA shark, is wonderful. Sometimes he's a body pillow or makes watching TV extra comfy. He is such a big hit that we've actually got three now."
Ralphanee,01/13/2020,5,So cute,My son loves this. Set this out with his Christmas gifts. Gorgeous huge and soft.
Happy Mastiff Parent,01/10/2020,5,Super adorable and amazingly durable!,"We originally bought one of these as a gag to see what our mastiff would do as she loves plush toys and dog toys suffered failure within a day. We also loved IKEA's safety factor in that the eyes are embroidered, not plastic, so they are puppy safe as well as kiddo safe. This shark is almost as big as she is. She immediately fell in love with it and carries it with her everywhere. Little does she know that we have a collection of them in the closet because we figured they'd fall apart fairly fast not being a dog toy. In 2 years we've had to replace one because her chompers finally did enough damage that it tore. These are amazing toys and absolutely adorable to boot. Moo would be lost without her giant fishy. I can highly recommend these as both an adorable toy and one that definitely lasts."
tiffy1080,01/08/2020,5,most stolen white elephant gift!,bought this for a white elephant that included both adults and children. it was stolen by both an adult and a child and there were almost tears. highly recommended purchase for any age.
Jantije,01/07/2020,5,Too cute.,"I am a big fan of IKEA's stuffed animals. They are made from soft fabric & filled with soft stuffing. Eyes & other features are embroidered on, so there are no choking hazards for small children. The shark, in particular, is probably one of the largest stuffies they have available. But he's not at all scary quite the opposite. I think he'd charm any small boy or girl - & a lot of adults."
Who Doesnt Love Stuffies,12/28/2019,5,Land Shark!,Clever of our local Ikea to 'randomly' place said sharks around their store in unusual places. We could not resist the adorable shark's pleas to take them home with us!!
iida,12/24/2019,5,What a superb shark,"I got one for my brother, and he immidiately fell in love with him. Our new family member's name is Huihai. The design is very cute, and he looks like a very polite shark. The materials and seams seem pretty high-quality. I like the fact that the eyes are embroidered, since plastic or glass ones would have made hugging the shark less comfortable. This shark is the perfect size for hugging and very soft. I love him so much I also had to get one for myself."
Scifigirl74,12/15/2019,5,His name is Tristen.,"Tristen is the best boy, he has a best friend Istar the monkey. Tristen is hoping for a plush kitten for Christmas. His day job is pillow, therapist, gamer, cook and all around awesome dude."
